,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
72,"Raahe, Northern Ostrobothnia",Good,8,12.8,NULL,4.8,39.2,NULL
73,"Varkaus, Northern Savonia",Good,8,11.4,NULL,6.1,NULL,NULL
74,"Pertteli, Finland Proper",Good,6.3,NULL,NULL,NULL,NULL,NULL
75,"Hameenlinna, Tavastia Proper",Good,6,6.1,NULL,4.5,NULL,NULL
76,"Raisio, Finland Proper",Good,6,11.2,NULL,10.1,1.2,NULL
77,"Vaasa, Central Ostrobothnia",Good,5.4,7.1,NULL,NULL,NULL,NULL
78,"Helsinki, Uusimaa",Good,5.2,6.1,49.5,8,0,NULL
79,"Tallinn, Harjumaa",Good,11,8.9,53,3.8,2.3,240
80,"Voore, Jogevamaa",Good,6.1,NULL,NULL,2.5,1.1,NULL
81,"Sillamaee, Ida-Virumaa",Good,6,15.8,NULL,NULL,NULL,NULL
82,"Tartu, Tartumaa",Good,6.7,8.7,NULL,2.7,0,220
83,"Narva, Ida-Virumaa",Good,3.5,6.8,NULL,1.7,2.5,NULL
84,"Sinimaee, Ida-Virumaa",Good,4,18.1,NULL,NULL,2.1,NULL
85,"Kohtla-Jaerve, Ida-Virumaa",Good,3.7,9.1,NULL,1.2,3,NULL
86,"Viljandi, Viljandimaa",Good,NULL,NULL,NULL,3.9,2.2,NULL
87,"Parnu Jogi, Paernumaa",NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,"Goeteborg, Västra Götalands län",Good,5.9,6.3,NULL,14.8,NULL,NULL
89,"Lund, Skåne län",Good,5,6.2,44,2.4,NULL,NULL
90,"Sodertalje, Stockholm",Good,5,3.7,NULL,4.9,NULL,NULL
91,"Kungsbacka, Hallands län",Good,5.2,NULL,NULL,NULL,NULL,NULL
92,"Staffanstorp, Skane",Good,NULL,NULL,48.9,NULL,NULL,NULL
93,"Helsingborg, Skåne län",Good,4.6,4.8,NULL,2.2,NULL,NULL
94,"Klaverod, Skane",Good,4.7,6.3,NULL,NULL,NULL,NULL
95,"Malmö, Skåne län",Good,4.7,3.1,39.8,6.1,NULL,NULL
96,"Linköping, Östergötlands län",Good,6.5,NULL,NULL,NULL,NULL,NULL
97,"Onsala, Hallands län",Good,3.8,3.8,NULL,NULL,NULL,NULL
98,"Baerum, Akershus",Moderate,25.1,28.4,NULL,16.2,NULL,NULL
99,"Stavanger, Rogaland",Moderate,25.2,26.1,NULL,54.6,NULL,NULL
100,"Kjenn, Akershus",Moderate,21.3,26.9,NULL,41,NULL,NULL
101,"Brevik, Telemark",Moderate,20.1,33.6,NULL,19.6,0,NULL
102,"Bergen, Hordaland",Moderate,16.9,28.4,9.4,44,NULL,NULL
103,"Hamar, Hedmark",Moderate,16.5,17.1,NULL,42.5,NULL,NULL
104,"Sjolyststranda, Oslo",Moderate,15.8,17.2,NULL,20.3,0,NULL
105,"Ski, Akershus",Moderate,16.1,NULL,NULL,NULL,NULL,NULL
106,"Moss, Ostfold",Moderate,15.2,17.5,NULL,18.5,NULL,NULL
107,"Sandsli, Hordaland",Moderate,14.6,19.4,NULL,NULL,NULL,NULL
108,"Kaiapoi, Canterbury",Moderate,12.5,25.2,NULL,NULL,NULL,NULL
109,"Rangiora, Canterbury",Moderate,12.8,20.2,NULL,NULL,NULL,NULL
110,"Waimate, Canterbury",Good,11.8,17.5,NULL,NULL,NULL,NULL
111,"Geraldine, Canterbury",Good,7.8,12.7,NULL,NULL,NULL,NULL
112,"Christchurch, Canterbury",Good,0,18.7,NULL,NULL,NULL,NULL
113,"Blenheim, Marlborough",Good,7,7.8,NULL,NULL,NULL,NULL
114,"Darfield, Canterbury",Good,7.1,NULL,NULL,NULL,NULL,NULL
115,"Hastings, Hawke's Bay",Good,6.9,15.6,NULL,NULL,NULL,NULL
116,"Wellington City, Wellington",Good,6.7,7.7,NULL,5,NULL,NULL
117,"Winton, Southland",Good,6.8,NULL,NULL,NULL,NULL,NULL
118,"Otterburn Park, Quebec",Unhealthy For Sensitive Groups,52.7,NULL,NULL,NULL,NULL,NULL
119,"Saint-Hubert, Quebec",Unhealthy For Sensitive Groups,50.5,NULL,NULL,NULL,NULL,NULL
120,"Saint-Eustache, Quebec",Unhealthy For Sensitive Groups,51.3,NULL,NULL,NULL,NULL,NULL
121,"Hamilton, Ontario",Moderate,33.7,47,9,50.2,8.9,NULL
122,"Nepean, Ontario",Unhealthy For Sensitive Groups,48.2,NULL,NULL,NULL,NULL,NULL
123,"Gatineau, Quebec",Unhealthy For Sensitive Groups,46.1,NULL,NULL,NULL,NULL,NULL
124,"Hull (Ile), Quebec",Unhealthy For Sensitive Groups,45.5,NULL,22,30.1,NULL,NULL
125,"Dollard-Des Ormeaux, Quebec",Unhealthy For Sensitive Groups,44.8,NULL,NULL,NULL,NULL,NULL
126,"Ottawa, Ontario",Unhealthy For Sensitive Groups,44.5,NULL,18,25,0,NULL
127,"Golden, British Columbia",Unhealthy For Sensitive Groups,54.2,18,NULL,NULL,NULL,NULL
128,"Darlinghurst, New South Wales",Unhealthy,55.8,6.6,38,13.2,2.6,1153.1
129,"Beresfield, New South Wales",Unhealthy For Sensitive Groups,52.7,13.2,54,7.5,23.6,NULL
130,"Wyong, New South Wales",Unhealthy For Sensitive Groups,46.7,0,2,5.6,2.6,1.9
131,"Shellharbour, New South Wales",Unhealthy For Sensitive Groups,36.4,61.4,54,1.9,2.6,NULL
132,"Geraldton, Western Australia",Moderate,12.1,134.6,NULL,NULL,NULL,NULL
133,"Manilla, New South Wales",Moderate,27.9,55,NULL,NULL,NULL,NULL
134,"Swan, Western Australia",Moderate,10.7,95.8,NULL,5.6,NULL,NULL
135,"Orange, New South Wales",Moderate,9.1,80.3,4,NULL,NULL,NULL
136,"Quinns Rocks, Western Australia",Moderate,4.6,71.3,NULL,5.6,NULL,NULL
137,"Collie, Western Australia",Moderate,NULL,67.3,NULL,NULL,NULL,NULL
