,Level,PM2.5,PM10,O3,NO2,SO2,CO,City
83,Good,7.8,12.1,25.7,20.8,2.5,338.6,Prague
84,Good,9.8,19.7,24.5,18.3,2,299.5,Sao Paulo
85,Good,7.4,8.8,21.7,31.9,NULL,0,Munich
86,Good,1.8,18.4,53.6,1.9,NULL,3.3,Canberra
87,Good,3.2,17.9,39.6,47.3,0,215.5,Denver
88,Good,10.4,18.8,71.7,5.5,1.1,63.4,Sydney
89,Good,2,3.5,37.7,22.8,NULL,NULL,Lyon
90,Good,10.3,12.7,34.8,15.5,1.8,NULL,Skopje
91,Good,6.2,NULL,2.4,2.6,0.7,17.1,Portland
92,Good,3.2,4.2,30,24.7,1,251.2,Vancouver BC
93,Good,1.3,NULL,17.1,66.7,0,57.3,Salt Lake City
94,Good,1.9,19.9,12.3,3.6,4.1,0,Melbourne
