,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
377,"Pho Moi, Tinh Bac Ninh",Unhealthy,115.2,231.1,3.2,89.2,140.3,0.0
378,"Scunthorpe, England",Unhealthy For Sensitive Groups,39.4,21.0,,,,
379,"Cupar, Scotland",Moderate,26.3,29.2,,36.6,,
380,"Norwich, England",Unhealthy For Sensitive Groups,46.2,25.0,10.0,39.5,,
381,"Holywood, Northern Ireland",Moderate,15.2,,,27.0,,
382,"East Ham, England",Moderate,20.0,,,,,
383,"Middlesbrough, England",Moderate,28.4,19.3,19.2,25.8,5.3,
384,"Nantwich, England",Moderate,16.9,,,,,
385,"Inverness, Scotland",Moderate,16.5,18.2,,36.7,,
386,"Kensington, England",Moderate,16.0,10.8,35.4,22.9,,
387,"Redcar, England",Moderate,15.0,13.3,,,,
388,"Contes, Provence-Alpes-Cote d'Azur",Unhealthy For Sensitive Groups,39.0,74.3,,,,
389,"Biot, Provence-Alpes-Cote d'Azur",Moderate,28.1,,,,,
390,"Sallanches, Auvergne-Rhône-Alpes",Moderate,31.0,37.2,,,,
391,"La Lechere, Auvergne-Rhone-Alpes",Moderate,25.0,29.8,,,,
392,"Portes-les-Valence, Auvergne-Rhone-Alpes",Moderate,22.0,30.8,25.9,20.3,,
393,"Passy, Auvergne-Rhone-Alpes",Moderate,21.0,43.0,4.4,32.6,,
394,"Nice, Provence-Alpes-Cote d'Azur",Moderate,20.9,25.1,13.2,20.7,,
395,"Saint-Jean-de-Maurienne, Auvergne-Rhone-Alpes",Moderate,18.0,23.0,20.3,22.4,4.7,
396,"Saint-Martin-d'Heres, Auvergne-Rhone-Alpes",Moderate,16.6,17.2,26.2,28.9,,
397,"Ternay, Auvergne-Rhone-Alpes",Moderate,16.0,17.1,9.1,32.4,,
398,"Passau, Bavaria",Moderate,23.0,30.0,,,,
399,"Meppen, Lower Saxony",Good,3.9,,,,,
400,"Oberaudorf, Bavaria",Moderate,22.0,29.0,,63.0,,
401,"Gelsenkirchen, Nordrhein-Westfalen",Moderate,17.0,20.0,,10.0,,
402,"Hagen, Nordrhein-Westfalen",Moderate,17.0,23.0,,,,
403,"Mönchengladbach, Nordrhein-Westfalen",Moderate,16.0,22.0,,,,
404,"Duisburg, Nordrhein-Westfalen",Moderate,15.0,23.5,46.0,19.0,27.5,
405,"Eppelheim, Baden-Wuerttemberg",Good,11.1,,,,,
406,"Lindau (Bodensee), Bavaria",Moderate,15.0,18.0,,,,0.0
407,"Oberhausen, Nordrhein-Westfalen",Moderate,15.0,24.0,,12.0,,
408,"Phra Samut Chedi, Samut Prakan",Very Unhealthy,154.0,180.0,10.0,92.1,13.1,973.3
409,"Thawi Watthana, Bangkok",Unhealthy,136.6,,,,,
410,"Samut Prakan, Samut Prakan",Unhealthy,83.8,158.0,100.0,79.0,26.2,1328.2
411,"Saraburi, Sara Buri",Unhealthy,130.0,202.0,34.0,54.5,,
412,"Sam Phran, Nakhon Pathom",Unhealthy,119.1,,,,,
413,"Samut Sakhon, Samut Sakhon",Unhealthy,107.9,178.5,22.0,45.1,31.4,1351.1
414,"Tha Yang, Phetchaburi",Unhealthy,72.4,,,,,
415,"Lat Phrao, Bangkok",Unhealthy,58.0,109.0,,,,
416,"Nong Bua Lamphu, Nong Bua Lamphu",Unhealthy,95.4,,,,,
417,"Mueang Nonthaburi, Nonthaburi",Unhealthy,101.4,,,,,
418,"Chiasso, Ticino",Moderate,35.0,41.0,0.0,64.0,,
419,"Mendrisio, Ticino",Moderate,30.0,34.0,6.0,42.0,,
420,"Ecublens, Vaud",Moderate,29.2,,,,,
421,"Rhaezuens, Grisons",Moderate,19.0,24.5,11.1,,,
422,"Chur, Grisons",Moderate,17.0,23.3,42.2,44.4,,
423,"Sion, Valais",Moderate,16.0,21.0,39.0,53.0,,
424,"Aigle, Vaud",Moderate,15.0,19.0,2.0,49.0,,
425,"Bex, Vaud",Moderate,14.0,17.0,12.0,38.0,,
426,"Lumino, Ticino",Good,9.0,12.1,,24.4,,
427,"Santa Maria in Calanca, Grisons",Good,9.0,12.6,60.2,16.1,,
428,"Messini, Peloponnese",Moderate,28.8,,,,,
429,"Peristeri, Attica",Good,7.1,,,,,
430,"Alexandroupoli, East Macedonia and Thrace",Moderate,32.5,,,,,
431,"Khalandrion, Attica",Moderate,28.3,,,,,
432,"Orestiada, East Macedonia and Thrace",Moderate,35.1,,,,,
433,"Vasilika, Central Macedonia",Moderate,20.4,,,,,
434,"Vrilissia, Attica",Moderate,16.0,,,,,
435,"Xanthi, East Macedonia and Thrace",Moderate,21.4,,,,,
436,"Souroti, Central Macedonia",Moderate,17.3,,,,,
437,"Thermi, Central Macedonia",Moderate,18.4,,,,,
438,"Cruzeiro do Sul, Acre",Good,9.5,,,,,
439,"Osasco, Sao Paulo",Good,11.0,14.0,,83.0,1.0,687.0
440,"Rio Claro, Sao Paulo",Good,11.0,8.0,,,,
441,"Jundiai, Sao Paulo",Good,10.0,15.0,5.0,36.0,,
442,"Santa Gertrudes, Sao Paulo",Good,10.0,22.0,,,,
443,"Sao Caetano do Sul, Sao Paulo",Good,10.0,3.0,38.0,8.0,1.0,
444,"Sao Paulo, Sao Paulo",Good,10.0,10.0,32.0,12.0,,229.0
445,"Maua, Sao Paulo",Good,9.0,29.0,31.0,11.0,1.0,
446,"Mogi Mirim, Sao Paulo",Good,,35.0,11.0,39.0,9.0,
447,"Sao Bernardo do Campo, Sao Paulo",Good,7.0,,35.0,10.0,,
448,"Zyryanka, Chukot",Unhealthy,86.0,,,,,
449,"Berezovka, Krasnoyarsk Krai",Unhealthy,60.0,,,120.0,50.0,380.0
450,"Magnitogorsk, Chelyabinsk",Moderate,35.0,,,,,
451,"Krasnoyarsk, Krasnoyarsk Krai",Good,9.8,,,60.0,20.0,20.0
452,"Kamensk-Shakhtinskiy, Rostov",Moderate,16.0,,,,,
453,"Balashikha, Moscow Oblast",Moderate,12.4,,,,,
454,"Saint Petersburg, St.-Petersburg",Good,11.0,,,,,
455,"Tol'yatti, Samara",Good,8.5,,,,,
456,"Gelendzhik, Krasnodarskiy",Good,6.0,,,,,
457,"Serpukhov, Moscow Oblast",Good,12.0,,,,,
458,"Makati, National Capital Region",Unhealthy For Sensitive Groups,50.0,,,,,
459,"Paranaque, National Capital Region",Moderate,31.4,,,,,
460,"Pasig City, National Capital Region",Moderate,29.5,,,,,
461,"Cavite City, Calabarzon",Moderate,22.3,,,,,
462,"Pasig, National Capital Region",Moderate,17.7,,,,,
463,"Quezon City, National Capital Region",Moderate,17.6,,,,,
464,"San Juan, National Capital Region",Moderate,17.8,,,,,
465,"Davao City, Davao",Moderate,17.5,33.2,,9.4,,
466,"Puerto Princesa, Mimaropa",Moderate,17.0,27.0,,,,
467,"Marikina, National Capital Region",Moderate,13.3,,,,,
468,"Yangon, Yangon",Unhealthy,92.3,,4.0,,,
469,"Mandalay, Mandalay",Unhealthy,68.5,,,,,
470,"Syriam, Yangon",Unhealthy For Sensitive Groups,47.5,,,,,
471,"Vientiane, Vientiane",Unhealthy For Sensitive Groups,53.4,,,,,
472,"Prairie Ridge, Washington",Unhealthy,83.9,,,,,
473,"Matheny, California",Unhealthy,68.2,,,,,
474,"Live Oak, California",Unhealthy,62.4,,,,,
475,"Tillmans Corner, Alabama",Unhealthy,59.2,,,,,
476,"Bethlehem, Pennsylvania",Unhealthy,57.9,,,,,
477,"Bakersfield, California",Unhealthy,55.9,,66.0,18.8,,
478,"Half Moon Bay, California",Unhealthy,55.6,,,,,
479,"Lacey, Washington",Unhealthy,56.2,36.7,,,,
480,"Del Rey, California",Unhealthy For Sensitive Groups,55.2,,,,,
481,"Emmaus, Pennsylvania",Unhealthy For Sensitive Groups,54.8,,,,,
482,"Burgas, Burgas",Moderate,14.0,22.0,50.6,,14.7,0.0
483,"Sofia, Sofia",Moderate,21.0,12.8,53.5,6.2,12.6,0.0
484,"Vratsa, Vratsa",Moderate,21.0,29.9,61.5,3.3,,0.0
485,"Ruse, Ruse",Moderate,19.9,24.0,38.5,32.5,,0.0
486,"Dobrich, Dobrich",Moderate,19.0,25.1,,,,
487,"Oriyakovica, Veliko Tarnovo",Moderate,19.0,24.2,34.5,3.6,7.9,
488,"Nesebar, Burgas",Moderate,18.0,26.8,,4.5,2.0,
489,"Shumen, Shumen",Moderate,17.0,22.4,57.6,3.4,5.0,
490,"Plovdiv, Plovdiv",Moderate,16.0,21.3,55.9,,8.0,0.0
491,"Blagoevgrad, Blagoevgrad",Good,11.0,14.1,35.0,7.0,,
492,"Banting, Selangor",Unhealthy For Sensitive Groups,41.9,,,,,
493,"Petaling Jaya, Selangor",Unhealthy For Sensitive Groups,41.9,,,,,
494,"Kangar, Perlis",Moderate,28.9,,,,,
495,"Kuala Langat, Selangor",Unhealthy For Sensitive Groups,37.4,,,,,
496,"Klang, Selangor",Moderate,26.3,,,,,
497,"Kuah, Kedah",Moderate,23.7,,,,,
498,"Prai, Penang",Moderate,23.7,,,,,
499,"Shah Alam, Selangor",Moderate,23.7,,,,,
500,"Alor Setar, Kedah",Moderate,22.5,,,,,
501,"Kuala Terengganu, Terengganu",Moderate,21.2,,,,,
502,"El Tambo, Junin",Moderate,34.2,,,,,
503,"San Juan de Lurigancho, Lima",Moderate,16.1,,4.5,,9.6,1.0
504,"Carabayllo, Lima",Moderate,13.8,2.0,3.4,,4.3,
505,"Trujillo, La Libertad",Moderate,19.7,,,,,
506,"Lima, Lima",Moderate,12.2,16.3,,,,
507,"Chupaca, Junin",Good,9.6,,,,,
508,"Inapari, Madre de Dios",Good,5.0,,,,,
509,"HUACHIPA, Lima",Good,,,,2.6,50.5,46.0
510,"Puerto Maldonado, Madre de Dios",Good,4.1,,,,,
511,"Santa Anita, Lima",Good,,,,3.3,17.1,
512,"Gornji Milanovac, Central serb",Very Unhealthy,150.6,,,,,
513,"KOSJERIC, Central Serbia",Unhealthy,123.1,122.9,5.8,13.9,5.1,
514,"Valjevo, Central Serbia",Unhealthy,87.1,87.6,,46.2,14.7,
515,"Cacak, Central Serbia",Unhealthy,83.7,,,16.9,,
516,"Nis, Central Serbia",Unhealthy,57.0,66.3,29.2,16.4,16.4,
517,"Novi Pazar, Central serb",Unhealthy For Sensitive Groups,54.4,54.7,,47.0,12.6,
518,"Paracin, Central serb",Unhealthy For Sensitive Groups,45.0,49.1,9.8,8.2,4.5,
519,"Lipe, Central Serbia",Unhealthy For Sensitive Groups,38.8,,,,,
520,"Pancevo, Autonomna Pokrajina Vojvodina",Moderate,33.0,34.7,22.3,16.5,15.8,
521,"Belgrade, Central Serbia",Moderate,23.8,23.6,51.2,11.9,23.0,510.0
522,"Moldava nad Bodvou, Kosice",Unhealthy,77.8,89.9,,,,
523,"Jelsava, Banska Bystrica",Unhealthy For Sensitive Groups,39.0,81.8,14.6,12.7,,
524,"Kosice, Kosice",Unhealthy For Sensitive Groups,41.0,47.5,4.0,,7.0,781.5
525,"Vranov nad Toplou, Presov",Unhealthy For Sensitive Groups,46.0,49.0,,,5.0,
526,"Strazske, Kosice",Unhealthy For Sensitive Groups,46.0,47.0,,,,
527,"Krompachy, Kosice",Moderate,31.0,32.0,,,11.0,
528,"Hnusta, Banska Bystrica",Moderate,32.0,43.0,,,,
529,"Nad Jazerom, Kosice",Moderate,25.0,32.0,,,,
530,"Ruzomberok, Zilina",Moderate,15.0,17.0,3.0,,3.0,
531,"Novaky, Nitra",Moderate,17.0,8.0,,,2.0,
532,"Pontecesures, Galicia",Unhealthy,56.7,57.0,2.7,,1.0,
533,"Lugo, Galicia",Unhealthy,55.8,51.5,1.0,,2.0,
534,"Algete, Madrid",Unhealthy For Sensitive Groups,49.0,,42.0,68.0,,
535,"Getafe, Madrid",Unhealthy For Sensitive Groups,49.0,46.0,2.0,86.0,,
536,"Coslada, Madrid",Unhealthy For Sensitive Groups,48.0,49.0,3.0,71.0,,
537,"Toledo, Castilla-La Mancha",Unhealthy For Sensitive Groups,47.0,48.0,2.0,34.0,2.0,
538,"Leganés, Madrid",Unhealthy For Sensitive Groups,44.0,53.0,1.0,96.0,,
539,"Ourense, Galicia",Unhealthy For Sensitive Groups,44.2,119.8,1.0,,1.2,
540,"Valdemoro, Madrid",Unhealthy For Sensitive Groups,44.0,,10.0,1.0,,
541,"Villa del Prado, Madrid",Unhealthy For Sensitive Groups,44.0,0.0,1.0,44.0,1.0,0.0
542,"Fiq, Quneitra",Moderate,14.0,,,,,
543,"Arwad, Tartus",Good,3.0,12.9,,33.5,1.3,
544,"Dhaka, Dhaka",Very Unhealthy,182.1,,,,,
545,"Manikganj, Dhaka",Very Unhealthy,171.0,,,,,
546,"Savar, Dhaka",Unhealthy,119.1,,,,,
547,"Sreepur, Dhaka",Unhealthy,81.6,,,,,
548,"Narayanganj, Dhaka",Good,8.0,,,,,
549,"Rawalpindi, Punjab",Hazardous,276.3,,,,,
550,"Faisalabad, Punjab",Very Unhealthy,214.2,,,,,
551,"Islamabad, Islamabad",Unhealthy,132.8,,,,,
552,"Bahawalpur, Punjab",Very Unhealthy,154.6,,,,,
553,"Lahore, Punjab",Unhealthy,100.1,,,,,
554,"Sahiwal, Punjab",Unhealthy,126.5,,,,,
555,"Muridke, Punjab",Unhealthy,67.1,,,,,
556,"Abbottabad, Khyber Pakhtunkhwa",Unhealthy For Sensitive Groups,48.2,,,,,
557,"Multan, Punjab",Unhealthy,62.6,,,,,
558,"Peshawar, Khyber Pakhtunkhwa",Unhealthy For Sensitive Groups,55.0,,,,,
559,"Tsetserleg, Arhangay",Unhealthy For Sensitive Groups,48.9,,,,,
560,"Darhan, Darhan Uul",Unhealthy,60.1,,,,,
561,"Ulaanbaatar, Ulaanbaatar",Unhealthy,64.3,307.0,13.0,26.0,57.0,9.0
562,"Urt, OEmnoegovi",Moderate,28.0,38.0,,11.0,7.0,
563,"Ulaan-Uul, East Gobi Aymag",Moderate,13.0,18.0,,10.0,,
564,"Sumber, East Aimak",Good,12.0,5.0,,4.0,6.5,
565,"Chonogol, Suhbaatar",Good,4.0,6.0,,5.0,,8.0
566,"Hongor, Suhbaatar",Good,1.0,19.0,,6.0,10.0,
567,"Ulan Bator, Ulaanbaatar",,,,,,,
568,"Kabul, Kabul",Hazardous,287.0,,,,,
569,"Pitampura, Delhi",Hazardous,328.0,504.0,8.5,55.0,16.4,2920.0
570,"Loni, Uttar Pradesh",Hazardous,310.0,446.6,28.0,42.5,20.0,
571,"Guwahati, Assam",Hazardous,252.0,,,,,
572,"Dadri, Uttar Pradesh",Very Unhealthy,238.3,389.3,1.0,136.0,4.0,
573,"Greater Noida, Uttar Pradesh",Very Unhealthy,227.9,348.0,3.0,,11.2,
574,"Baraut, Uttar Pradesh",Very Unhealthy,217.0,364.3,38.0,,,
575,"Delhi, Delhi",Unhealthy,88.0,140.9,6.8,50.2,43.0,2400.0
576,"Noida, Uttar Pradesh",Very Unhealthy,207.0,350.4,8.0,61.3,9.2,2900.0
577,"Patna, Bihar",Very Unhealthy,196.6,,54.1,108.0,21.6,2900.0
578,"Uran, Maharashtra",Very Unhealthy,187.5,280.0,12.0,,8.8,
579,"Medan, North Sumatra",Unhealthy For Sensitive Groups,55.4,,,,,
580,"Jakarta, Jakarta",Unhealthy,68.4,,,,,
581,"Bandung, West Java",Unhealthy For Sensitive Groups,40.1,,,,,
582,"Semarang, Central Java",Unhealthy For Sensitive Groups,38.8,,,,,
583,"Palembang, South Sumatra",Moderate,25.7,,,,,
584,"Jimbaran, Bali",Moderate,18.1,,,,,
585,"Bogor, West Java",Moderate,17.8,11.0,,,,
586,"Yogyakarta, Yogyakarta",Moderate,20.0,,,,,
587,"Dumai, Riau",Moderate,14.4,,,,,
588,"Denpasar, Bali",Moderate,12.8,,,,,
589,"Manama, Capital Governorate",Moderate,0.0,,,,,
590,"Kathmandu, Central Region",Very Unhealthy,180.0,193.5,0.0,,,
591,"Siddharthanagar, Western Region",Very Unhealthy,161.1,,,,,
592,"Bharatpur, Central Region",Unhealthy,122.1,43.9,,,,
593,"Nepalgunj, Mid Western",Unhealthy,106.7,67.2,,,,
594,"Dhankuta, Eastern Region",Unhealthy,87.4,89.5,,,,
595,"Patan, Central Region",Unhealthy,84.6,108.1,,,,
596,"Pokhara, Western Region",Unhealthy For Sensitive Groups,53.3,,,,,
597,"Kirtipur, Central Region",Unhealthy For Sensitive Groups,52.0,123.2,,,,
598,"Tulsipur, Mid Western",Unhealthy For Sensitive Groups,41.7,59.1,,,,
599,"Bhaktapur, Central Region",Unhealthy For Sensitive Groups,39.2,56.1,,,,
600,"Tashkent, Toshkent Shahri",Unhealthy,66.0,,4.0,,,
601,"Baghdad, Baghdad",Unhealthy For Sensitive Groups,53.4,,,,,
602,"Nassau, New Providence",Good,4.4,,,,,
603,"Governor's Harbour, Central Eleuthera",Good,3.7,,,,,
604,"Charlotte Amalie, Saint Thomas Island",Good,0.6,,,,,
605,"Cruz Bay, Saint John Island",Good,0.0,,,,,
606,"Isafjoerdur, Westfjords",Good,0.0,,,,,
607,"Lohja, Uusimaa",Good,9.8,,,,,
608,"Nurmijaervi, Uusimaa",Good,9.2,,,,,
609,"Imatra, South Karelia",Good,9.0,6.7,,2.5,1.0,
610,"Siuntio, Uusimaa",Good,7.9,,,,,
611,"Raisio, Finland Proper",Good,7.3,7.8,,11.4,0.0,
612,"Tampere, Pirkanmaa",Good,6.7,7.2,,18.7,,
613,"Joensuu, North Karelia",Good,6.8,9.7,,25.6,,
614,"Lansi-Turunmaa, Finland Proper",Good,6.1,11.1,,4.9,1.1,
615,"Pertteli, Finland Proper",Good,6.7,,,,,
616,"Vantaa, Uusimaa",Good,6.3,5.4,,4.1,,
617,"Tallinn, Harjumaa",Good,9.0,12.3,13.7,30.1,2.7,340.0
618,"Tartu, Tartumaa",Good,8.5,12.9,,24.2,0.0,350.0
619,"Sinimaee, Ida-Virumaa",Good,4.0,6.0,,,0.0,
620,"Voore, Jogevamaa",Good,4.0,,,2.2,0.7,
621,"Sillamaee, Ida-Virumaa",Good,3.6,4.0,,,,
622,"Kohtla-Jaerve, Ida-Virumaa",Good,3.5,4.3,,5.0,0.8,
623,"Narva, Ida-Virumaa",Good,2.8,6.1,,16.0,0.3,
624,"Parnu Jogi, Paernumaa",,,,,,,
625,"Enkoeping, Uppsala län",Moderate,12.3,,,,,
626,"Linköping, Östergötlands län",Good,10.5,,,,,
627,"Solna, Stockholm",Good,9.3,,,,,
628,"Kungsbacka, Hallands län",Good,8.7,,,,,
629,"Lilla Essingen, Stockholm",Good,8.3,,,,,
630,"Malmö, Skåne län",Good,8.0,3.5,9.6,24.8,,
631,"Norrköping, Östergötlands län",Good,7.0,8.5,,,,
632,"Bredkalen, Jaemtland",Good,6.3,6.4,,,,
633,"Uppsala, Uppsala län",Good,6.0,8.8,,14.0,,
634,"Saro, Hallands län",Good,5.3,,,,,
635,"Stavanger, Rogaland",Unhealthy For Sensitive Groups,42.4,52.0,,86.0,,
636,"Alesund, More og Romsdal",Moderate,17.0,23.4,,3.9,,
637,"Trondheim, Sor-Trondelag",Unhealthy For Sensitive Groups,36.2,43.6,,83.1,,
638,"Oslo, Oslo",Good,10.6,24.7,,51.6,,0.0
639,"Lillestrom, Akershus",Good,9.9,6.6,,22.9,,
640,"Mo i Rana, Nordland",Moderate,20.6,31.6,,,,
641,"Narvik, Nordland",Moderate,31.4,52.7,,,,
642,"Ski, Akershus",Good,10.1,,,,,
643,"Sandsli, Hordaland",Moderate,17.5,20.7,,44.2,,
644,"Bodo, Nordland",Good,6.7,42.4,,,,
645,"Rangiora, Canterbury",Good,10.2,20.7,,,,
646,"Kaiapoi, Canterbury",Moderate,13.2,23.9,,,,
647,"Ruakaka, Northland",Good,,7.5,,,,
648,"Ashburton, Canterbury",Good,7.9,22.5,,,,
649,"Geraldine, Canterbury",Good,7.3,21.4,,,,
650,"Waimate, Canterbury",Good,7.0,20.4,,,,
651,"Awatoto, Hawke's Bay",Good,6.6,21.1,,,,
652,"Blenheim, Marlborough",Good,6.5,4.9,,,,
653,"Timaru, Canterbury",Good,6.6,29.8,,,3.9,500.0
654,"Gisborne, Gisborne",Good,6.3,24.5,,,,
655,"Regina, Saskatchewan",Unhealthy For Sensitive Groups,42.1,,8.0,58.3,,
656,"St. Albert, Alberta",Moderate,35.2,,2.0,82.7,2.6,
657,"Winnipeg, Manitoba",Moderate,35.3,,5.4,13.5,,
658,"Edmonton, Alberta",Moderate,32.4,,2.0,77.1,2.6,
659,"Brandon, Manitoba",Moderate,34.9,,,17.7,,
660,"Sherwood Park, Alberta",Moderate,19.1,,32.0,42.3,2.6,
661,"Stettler, Alberta",Moderate,27.7,,,,,
662,"Watrous, Saskatchewan",Moderate,18.8,,,,,
663,"Houston, British Columbia",Moderate,32.9,3.8,,,,
664,"Rideau Park, Alberta",Moderate,30.0,,2.0,67.7,2.6,
665,"Kembla Grange, New South Wales",Unhealthy For Sensitive Groups,42.1,51.6,,1.9,,
666,"Muswellbrook, New South Wales",Moderate,30.8,21.5,,11.3,2.6,
667,"Manilla, New South Wales",Moderate,26.3,24.2,,,,
668,"Tamworth, New South Wales",Moderate,23.7,2.1,,,,
669,"Shellharbour, New South Wales",Moderate,21.5,4.1,,1.9,,
670,"Swan, Western Australia",Moderate,13.5,46.2,,67.7,,
671,"Busselton, Western Australia",Moderate,6.1,57.0,,,,
672,"Albany, Western Australia",Good,,55.0,,,,
673,"Geraldton, Western Australia",Good,7.0,46.2,,,,
674,"Beresfield, New South Wales",Good,2.4,37.9,,3.8,7.9,
675,Dhaka,Very Unhealthy,227.5,,,,,
676,Delhi,Very Unhealthy,137.7,201.2,9.8,35.0,12.6,1181.7
677,Bishkek,Very Unhealthy,157.4,2.2,,,,
678,Kathmandu,Unhealthy,112.2,198.5,14.8,,,
679,Lahore,Unhealthy,104.5,,,,,
680,Kolkata,Unhealthy,78.3,131.7,36.1,36.3,11.0,510.0
681,Mumbai,Unhealthy,115.7,230.4,13.6,37.5,19.4,1281.3
682,Kabul,Unhealthy,83.6,,,,,
683,Chengdu,Unhealthy,77.4,104.7,5.8,51.1,6.5,880.0
684,Riyadh,Unhealthy,90.4,,,,,
685,Karachi,Unhealthy,56.9,,,,,
686,Nur-Sultan,Unhealthy,51.6,86.3,,27.1,36.7,1066.6
687,Tehran,Unhealthy,67.7,86.6,14.4,260.3,31.6,2833.9
688,Chongqing,Unhealthy,60.4,87.7,6.0,41.3,8.8,900.0
689,Warsaw,Unhealthy,62.3,60.8,3.9,30.3,,0.8
690,Ulaanbaatar,Unhealthy For Sensitive Groups,51.8,59.4,15.0,10.7,28.8,5.8
691,Yangon,Unhealthy For Sensitive Groups,59.3,,2.0,,,
692,Belgrade,Unhealthy For Sensitive Groups,41.1,35.7,15.5,15.0,7.1,572.0
693,Milano,Unhealthy For Sensitive Groups,54.1,,3.7,70.6,3.8,1.5
694,Wuhan,Unhealthy For Sensitive Groups,42.2,76.9,29.2,53.1,11.6,630.0
695,Sarajevo,Unhealthy For Sensitive Groups,58.6,77.1,12.3,33.9,44.0,
696,Kyiv,Unhealthy For Sensitive Groups,37.6,,,,,
697,Krasnoyarsk,Unhealthy For Sensitive Groups,20.2,,,208.3,39.2,335.7
698,Kuwait City,Unhealthy For Sensitive Groups,42.8,,,,,
699,Hanoi,Moderate,28.1,39.7,0.0,13.7,0.7,634.0
700,Ho Chi Minh City,Unhealthy For Sensitive Groups,38.9,,,,,
701,Mexico City,Unhealthy For Sensitive Groups,27.3,34.7,58.3,26.2,4.4,732.8
702,Jerusalem,Moderate,22.3,103.3,2.0,7.8,,
703,Johannesburg,Moderate,34.1,39.9,21.6,28.9,5.7,
704,Salt Lake City,Moderate,23.8,,32.0,63.5,0.4,57.3
705,Chiang Mai,Moderate,36.7,60.2,55.3,9.6,4.7,
706,Shanghai,Moderate,35.2,64.1,35.0,44.5,12.9,791.7
707,San Francisco,Moderate,20.8,,18.0,33.6,,
708,Paris,Moderate,28.3,34.8,6.5,53.6,1.8,0.6
709,Kaohsiung,Moderate,21.8,39.3,38.9,27.3,7.5,439.2
710,Portland,Moderate,13.3,,2.8,3.7,2.7,17.1
711,Tel Aviv-Yafo,Moderate,19.0,33.6,66.7,21.0,4.3,257.6
712,Hangzhou,Moderate,23.8,61.3,40.5,29.2,7.8,590.0
713,Seattle,Moderate,10.1,,,,,
714,Wroclaw,Moderate,24.9,3.8,10.3,20.9,4.7,967.6
715,Budapest,Moderate,20.7,23.8,9.1,27.0,4.8,516.7
716,Krakow,Moderate,36.3,37.9,,18.1,4.8,
717,Jakarta,Moderate,12.2,28.5,,,,
718,London,Moderate,12.1,11.8,26.9,16.0,1.0,900.0
719,Zagreb,Moderate,14.6,41.5,50.7,7.4,3.0,300.0
720,Brussels,Moderate,15.5,18.8,2.0,41.7,1.0,0.0
721,Shenyang,Moderate,47.0,67.5,21.1,39.8,26.3,1221.4
722,Seoul,Moderate,16.7,27.0,33.7,49.7,12.0,629.8
723,Vienna,Moderate,14.2,15.4,35.7,11.9,1.0,275.0
724,Bern,Moderate,14.0,24.5,5.0,,,
725,Bratislava,Moderate,15.6,17.3,23.2,22.8,4.0,
726,Incheon,Moderate,18.9,28.8,34.8,39.2,12.9,639.3
727,Moscow,Moderate,14.0,16.1,5.5,27.6,2.1,276.7
728,Rotterdam,Moderate,17.9,16.5,,63.7,,
729,Lyon,Moderate,12.8,15.7,38.9,12.8,,
730,Phnom Penh,Moderate,15.0,,,,,
731,Taipei,Moderate,13.1,28.3,51.0,22.4,3.8,358.8
732,Denver,Moderate,10.2,26.0,46.2,57.5,1.1,278.1
733,Shenzhen,Moderate,10.6,32.0,44.4,22.2,8.0,558.3
734,Dubai,Moderate,11.6,,,,,
735,Sao Paulo,Good,11.5,16.7,43.7,15.0,2.0,381.7
736,Beijing,Good,12.8,51.1,43.4,22.8,3.1,333.3
737,Hong Kong,Good,11.0,29.4,37.2,36.2,5.1,530.7
738,Munich,Good,11.0,13.5,36.0,19.5,,0.0
739,Prague,Good,11.3,18.2,8.7,22.7,,659.6
740,Guangzhou,Good,10.3,25.8,55.1,19.5,8.5,466.7
741,Lima,Good,9.3,11.9,,,,
742,Busan,Good,10.2,18.1,,16.9,7.9,343.5
743,Oslo,Good,6.9,9.8,,14.6,,0.0
744,Bogota,Good,7.5,16.5,11.6,,,
745,Amsterdam,Good,8.9,12.2,10.2,47.4,0.5,446.3
746,Bangkok,Good,8.7,39.5,48.0,4.4,,838.7
747,Singapore,Good,8.0,26.4,6.1,12.1,3.0,0.0
748,Vancouver BC,Good,6.2,5.5,22.3,29.4,0.7,262.8
749,Kobe,Good,7.6,9.0,,25.6,,
750,Kuala Lumpur,Good,6.7,,,,,
751,Madrid,Good,2.3,3.1,63.0,5.3,1.3,0.0
752,Helsinki,Good,5.5,4.8,39.3,7.9,0.0,
753,Santiago,Good,7.8,46.3,28.0,18.2,1.7,377.9
754,Detroit,Good,4.7,,,13.9,1.0,687.0
755,Kuching,Good,5.4,,,,,
756,Nagoya,Good,7.0,6.9,,26.9,,
757,Osaka,Good,8.0,4.3,,25.1,,
758,Kyoto,Good,5.7,8.2,,14.7,,412.2
759,Berlin,Good,6.8,12.9,8.4,13.1,,0.0
760,Toronto,Good,4.5,,36.0,15.0,0.7,
761,Melbourne,Good,5.4,17.9,28.8,3.8,3.4,0.0
762,Pristina,Good,4.9,,,,,
763,Canberra,Good,1.5,3.9,32.7,3.0,,3.4
764,Sofia,Good,2.9,2.8,48.1,5.7,4.2,0.0
765,New York City,Good,6.6,,41.0,,3.5,242.8
766,Tokyo,Good,6.1,6.4,,44.2,2.6,381.7
767,Los Angeles,Good,17.1,41.2,3.0,31.8,2.4,
768,Sydney,Good,0.0,7.2,31.5,1.1,0.0,2.3
769,Skopje,Good,6.8,4.9,20.3,11.5,0.0,
