,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Mitsuishi, Okayama",Unhealthy,61,76,NULL,32,10.5,NULL
1,"Mizuochicho, Fukui",Unhealthy For Sensitive Groups,52,NULL,NULL,62,NULL,NULL
2,"Seicho, Kagawa",Unhealthy For Sensitive Groups,47,75,NULL,58.3,15.7,NULL
3,"Osaka, Osaka",Unhealthy For Sensitive Groups,46.7,61,NULL,112.8,NULL,NULL
4,"Toyocho, Aichi",Unhealthy For Sensitive Groups,44,53,NULL,67.7,7.9,NULL
5,"Amagasaki, Hyogo",Unhealthy For Sensitive Groups,43,NULL,NULL,NULL,NULL,916
6,"Kamihonnojimaecho, Kyoto",Unhealthy For Sensitive Groups,42,44,NULL,56.4,NULL,NULL
7,"Sumauradori, Hyogo",Unhealthy For Sensitive Groups,42,NULL,NULL,97.8,NULL,NULL
8,"Goi, Chiba",Unhealthy For Sensitive Groups,41,NULL,NULL,79,15.7,NULL
9,"Kaidecho, Kyoto",Unhealthy For Sensitive Groups,41,25,NULL,48.9,2.6,NULL
10,"Datong, Shanxi",Hazardous,277,1159,8,66,72,2600
11,"Xinzhou, Shanxi",Hazardous,280,1133,9,35,129,1100
12,"Hohhot, Inner Mongolia",Hazardous,287.5,1000,8,47,23,2511
13,"Zhangjiakou, Hebei",Hazardous,103,925.5,16,38.5,14,1290.5
14,"Daqing, Heilongjiang",Hazardous,259,862,5,72,69,3200
15,"Baotou, Inner Mongolia",Hazardous,250,853,9,56,36,2800
16,"Taiyuan, Shanxi",Hazardous,223,750,11,46,24,1400
17,"Yulin, Shaanxi",Hazardous,217,723,5,57.5,14.5,1896.5
18,"Lvliang, Shanxi",Hazardous,143,636,6,38,47,1000
19,"Jining, Inner Mongolia",Hazardous,147,466,20,30,27,896
20,"Golden, British Columbia",Unhealthy,66.9,30.7,NULL,NULL,NULL,NULL
21,"Houston, British Columbia",Unhealthy,78.8,0,NULL,NULL,NULL,NULL
22,"Dawson City, Yukon",Unhealthy For Sensitive Groups,43.4,NULL,NULL,NULL,NULL,NULL
23,"Barrie, Ontario",Moderate,31,NULL,24,21.4,NULL,NULL
24,"Hamilton, Ontario",Moderate,34.7,27,31,22.9,0.8,NULL
25,"Simcoe, Ontario",Unhealthy For Sensitive Groups,40.1,NULL,NULL,NULL,NULL,NULL
26,"Woodstock, Ontario",Moderate,27.8,NULL,NULL,NULL,NULL,NULL
27,"Otterburn Park, Quebec",Moderate,30,NULL,NULL,NULL,NULL,NULL
28,"Oshawa, Ontario",Moderate,24,NULL,20,29.1,NULL,NULL
29,"Revelstoke, British Columbia",Moderate,24.9,NULL,NULL,NULL,NULL,NULL
30,"Hanoi, Hanoi",Unhealthy,128.6,156,NULL,37.8,NULL,1800.8
31,"Ben Cat, Tinh Binh Duong",Unhealthy,138.6,NULL,NULL,NULL,NULL,NULL
32,"Van Dien, Hanoi",Unhealthy,112.4,141.5,NULL,24.9,NULL,1019.9
33,"Phuc Yen, Tinh Vinh Phuc",Unhealthy,130.3,228,NULL,NULL,NULL,NULL
34,"Luong Son, Tinh Hoa Binh",Unhealthy,129.4,239.5,NULL,NULL,NULL,NULL
35,"Cho, Tinh Bac Ninh",Unhealthy,104.1,136,2.3,25.9,4.5,662.6
36,"Cau Dien, Hanoi",Unhealthy,107.7,170.9,0,64.1,3.4,1491.9
37,"Bac Ninh, Tinh Bac Ninh",Unhealthy,115.4,169.3,NULL,NULL,87.6,NULL
38,"Nhu Quynh, Tinh Hung Yen",Unhealthy,138,318,0,35.3,9.9,4.7
39,"Pho Moi, Tinh Bac Ninh",Unhealthy,115.2,231.1,3.2,89.2,140.3,0
40,"Scunthorpe, England",Unhealthy For Sensitive Groups,39.4,21,NULL,NULL,NULL,NULL
41,"Cupar, Scotland",Moderate,26.3,29.2,NULL,36.6,NULL,NULL
42,"Norwich, England",Unhealthy For Sensitive Groups,46.2,25,10,39.5,NULL,NULL
43,"Holywood, Northern Ireland",Moderate,15.2,NULL,NULL,27,NULL,NULL
44,"East Ham, England",Moderate,20,NULL,NULL,NULL,NULL,NULL
45,"Middlesbrough, England",Moderate,28.4,19.3,19.2,25.8,5.3,NULL
46,"Nantwich, England",Moderate,16.9,NULL,NULL,NULL,NULL,NULL
47,"Inverness, Scotland",Moderate,16.5,18.2,NULL,36.7,NULL,NULL
48,"Kensington, England",Moderate,16,10.8,35.4,22.9,NULL,NULL
49,"Redcar, England",Moderate,15,13.3,NULL,NULL,NULL,NULL
50,"Contes, Provence-Alpes-Cote d'Azur",Unhealthy For Sensitive Groups,39,74.3,NULL,NULL,NULL,NULL
51,"Biot, Provence-Alpes-Cote d'Azur",Moderate,28.1,NULL,NULL,NULL,NULL,NULL
52,"Sallanches, Auvergne-Rhône-Alpes",Moderate,31,37.2,NULL,NULL,NULL,NULL
53,"La Lechere, Auvergne-Rhone-Alpes",Moderate,25,29.8,NULL,NULL,NULL,NULL
54,"Portes-les-Valence, Auvergne-Rhone-Alpes",Moderate,22,30.8,25.9,20.3,NULL,NULL
55,"Passy, Auvergne-Rhone-Alpes",Moderate,21,43,4.4,32.6,NULL,NULL
56,"Nice, Provence-Alpes-Cote d'Azur",Moderate,20.9,25.1,13.2,20.7,NULL,NULL
57,"Saint-Jean-de-Maurienne, Auvergne-Rhone-Alpes",Moderate,18,23,20.3,22.4,4.7,NULL
58,"Saint-Martin-d'Heres, Auvergne-Rhone-Alpes",Moderate,16.6,17.2,26.2,28.9,NULL,NULL
59,"Ternay, Auvergne-Rhone-Alpes",Moderate,16,17.1,9.1,32.4,NULL,NULL
60,"Passau, Bavaria",Moderate,23,30,NULL,NULL,NULL,NULL
61,"Meppen, Lower Saxony",Good,3.9,NULL,NULL,NULL,NULL,NULL
62,"Oberaudorf, Bavaria",Moderate,22,29,NULL,63,NULL,NULL
63,"Gelsenkirchen, Nordrhein-Westfalen",Moderate,17,20,NULL,10,NULL,NULL
64,"Hagen, Nordrhein-Westfalen",Moderate,17,23,NULL,NULL,NULL,NULL
65,"Mönchengladbach, Nordrhein-Westfalen",Moderate,16,22,NULL,NULL,NULL,NULL
66,"Duisburg, Nordrhein-Westfalen",Moderate,15,23.5,46,19,27.5,NULL
67,"Eppelheim, Baden-Wuerttemberg",Good,11.1,NULL,NULL,NULL,NULL,NULL
68,"Lindau (Bodensee), Bavaria",Moderate,15,18,NULL,NULL,NULL,0
69,"Oberhausen, Nordrhein-Westfalen",Moderate,15,24,NULL,12,NULL,NULL
70,"Phra Samut Chedi, Samut Prakan",Very Unhealthy,154,180,10,92.1,13.1,973.3
71,"Thawi Watthana, Bangkok",Unhealthy,136.6,NULL,NULL,NULL,NULL,NULL
72,"Samut Prakan, Samut Prakan",Unhealthy,83.8,158,100,79,26.2,1328.2
73,"Saraburi, Sara Buri",Unhealthy,130,202,34,54.5,NULL,NULL
74,"Sam Phran, Nakhon Pathom",Unhealthy,119.1,NULL,NULL,NULL,NULL,NULL
75,"Samut Sakhon, Samut Sakhon",Unhealthy,107.9,178.5,22,45.1,31.4,1351.1
76,"Tha Yang, Phetchaburi",Unhealthy,72.4,NULL,NULL,NULL,NULL,NULL
77,"Lat Phrao, Bangkok",Unhealthy,58,109,NULL,NULL,NULL,NULL
78,"Nong Bua Lamphu, Nong Bua Lamphu",Unhealthy,95.4,NULL,NULL,NULL,NULL,NULL
79,"Mueang Nonthaburi, Nonthaburi",Unhealthy,101.4,NULL,NULL,NULL,NULL,NULL
80,"Chiasso, Ticino",Moderate,35,41,0,64,NULL,NULL
81,"Mendrisio, Ticino",Moderate,30,34,6,42,NULL,NULL
82,"Ecublens, Vaud",Moderate,29.2,NULL,NULL,NULL,NULL,NULL
83,"Rhaezuens, Grisons",Moderate,19,24.5,11.1,NULL,NULL,NULL
84,"Chur, Grisons",Moderate,17,23.3,42.2,44.4,NULL,NULL
85,"Sion, Valais",Moderate,16,21,39,53,NULL,NULL
86,"Aigle, Vaud",Moderate,15,19,2,49,NULL,NULL
87,"Bex, Vaud",Moderate,14,17,12,38,NULL,NULL
88,"Lumino, Ticino",Good,9,12.1,NULL,24.4,NULL,NULL
89,"Santa Maria in Calanca, Grisons",Good,9,12.6,60.2,16.1,NULL,NULL
90,"Messini, Peloponnese",Moderate,28.8,NULL,NULL,NULL,NULL,NULL
91,"Peristeri, Attica",Good,7.1,NULL,NULL,NULL,NULL,NULL
92,"Alexandroupoli, East Macedonia and Thrace",Moderate,32.5,NULL,NULL,NULL,NULL,NULL
93,"Khalandrion, Attica",Moderate,28.3,NULL,NULL,NULL,NULL,NULL
94,"Orestiada, East Macedonia and Thrace",Moderate,35.1,NULL,NULL,NULL,NULL,NULL
95,"Vasilika, Central Macedonia",Moderate,20.4,NULL,NULL,NULL,NULL,NULL
96,"Vrilissia, Attica",Moderate,16,NULL,NULL,NULL,NULL,NULL
97,"Xanthi, East Macedonia and Thrace",Moderate,21.4,NULL,NULL,NULL,NULL,NULL
98,"Souroti, Central Macedonia",Moderate,17.3,NULL,NULL,NULL,NULL,NULL
99,"Thermi, Central Macedonia",Moderate,18.4,NULL,NULL,NULL,NULL,NULL
100,"Cruzeiro do Sul, Acre",Good,9.5,NULL,NULL,NULL,NULL,NULL
101,"Osasco, Sao Paulo",Good,11,14,NULL,83,1,687
102,"Rio Claro, Sao Paulo",Good,11,8,NULL,NULL,NULL,NULL
103,"Jundiai, Sao Paulo",Good,10,15,5,36,NULL,NULL
104,"Santa Gertrudes, Sao Paulo",Good,10,22,NULL,NULL,NULL,NULL
105,"Sao Caetano do Sul, Sao Paulo",Good,10,3,38,8,1,NULL
106,"Sao Paulo, Sao Paulo",Good,10,10,32,12,NULL,229
107,"Maua, Sao Paulo",Good,9,29,31,11,1,NULL
108,"Mogi Mirim, Sao Paulo",Good,NULL,35,11,39,9,NULL
109,"Sao Bernardo do Campo, Sao Paulo",Good,7,NULL,35,10,NULL,NULL
110,"Zyryanka, Chukot",Unhealthy,86,NULL,NULL,NULL,NULL,NULL
111,"Berezovka, Krasnoyarsk Krai",Unhealthy,60,NULL,NULL,120,50,380
112,"Magnitogorsk, Chelyabinsk",Moderate,35,NULL,NULL,NULL,NULL,NULL
113,"Krasnoyarsk, Krasnoyarsk Krai",Good,9.8,NULL,NULL,60,20,20
114,"Kamensk-Shakhtinskiy, Rostov",Moderate,16,NULL,NULL,NULL,NULL,NULL
115,"Balashikha, Moscow Oblast",Moderate,12.4,NULL,NULL,NULL,NULL,NULL
116,"Saint Petersburg, St.-Petersburg",Good,11,NULL,NULL,NULL,NULL,NULL
117,"Tol'yatti, Samara",Good,8.5,NULL,NULL,NULL,NULL,NULL
118,"Gelendzhik, Krasnodarskiy",Good,6,NULL,NULL,NULL,NULL,NULL
119,"Serpukhov, Moscow Oblast",Good,12,NULL,NULL,NULL,NULL,NULL
120,"Makati, National Capital Region",Unhealthy For Sensitive Groups,50,NULL,NULL,NULL,NULL,NULL
121,"Paranaque, National Capital Region",Moderate,31.4,NULL,NULL,NULL,NULL,NULL
122,"Pasig City, National Capital Region",Moderate,29.5,NULL,NULL,NULL,NULL,NULL
