,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
123,"Cavite City, Calabarzon",Moderate,22.3,NULL,NULL,NULL,NULL,NULL
124,"Pasig, National Capital Region",Moderate,17.7,NULL,NULL,NULL,NULL,NULL
125,"Quezon City, National Capital Region",Moderate,17.6,NULL,NULL,NULL,NULL,NULL
126,"San Juan, National Capital Region",Moderate,17.8,NULL,NULL,NULL,NULL,NULL
127,"Davao City, Davao",Moderate,17.5,33.2,NULL,9.4,NULL,NULL
128,"Puerto Princesa, Mimaropa",Moderate,17,27,NULL,NULL,NULL,NULL
129,"Marikina, National Capital Region",Moderate,13.3,NULL,NULL,NULL,NULL,NULL
130,"Yangon, Yangon",Unhealthy,92.3,NULL,4,NULL,NULL,NULL
131,"Mandalay, Mandalay",Unhealthy,68.5,NULL,NULL,NULL,NULL,NULL
132,"Syriam, Yangon",Unhealthy For Sensitive Groups,47.5,NULL,NULL,NULL,NULL,NULL
133,"Vientiane, Vientiane",Unhealthy For Sensitive Groups,53.4,NULL,NULL,NULL,NULL,NULL
134,"Prairie Ridge, Washington",Unhealthy,83.9,NULL,NULL,NULL,NULL,NULL
135,"Matheny, California",Unhealthy,68.2,NULL,NULL,NULL,NULL,NULL
136,"Live Oak, California",Unhealthy,62.4,NULL,NULL,NULL,NULL,NULL
137,"Tillmans Corner, Alabama",Unhealthy,59.2,NULL,NULL,NULL,NULL,NULL
138,"Bethlehem, Pennsylvania",Unhealthy,57.9,NULL,NULL,NULL,NULL,NULL
139,"Bakersfield, California",Unhealthy,55.9,NULL,66,18.8,NULL,NULL
140,"Half Moon Bay, California",Unhealthy,55.6,NULL,NULL,NULL,NULL,NULL
141,"Lacey, Washington",Unhealthy,56.2,36.7,NULL,NULL,NULL,NULL
142,"Del Rey, California",Unhealthy For Sensitive Groups,55.2,NULL,NULL,NULL,NULL,NULL
143,"Emmaus, Pennsylvania",Unhealthy For Sensitive Groups,54.8,NULL,NULL,NULL,NULL,NULL
144,"Burgas, Burgas",Moderate,14,22,50.6,NULL,14.7,0
145,"Sofia, Sofia",Moderate,21,12.8,53.5,6.2,12.6,0
146,"Vratsa, Vratsa",Moderate,21,29.9,61.5,3.3,NULL,0
147,"Ruse, Ruse",Moderate,19.9,24,38.5,32.5,NULL,0
148,"Dobrich, Dobrich",Moderate,19,25.1,NULL,NULL,NULL,NULL
149,"Oriyakovica, Veliko Tarnovo",Moderate,19,24.2,34.5,3.6,7.9,NULL
150,"Nesebar, Burgas",Moderate,18,26.8,NULL,4.5,2,NULL
151,"Shumen, Shumen",Moderate,17,22.4,57.6,3.4,5,NULL
152,"Plovdiv, Plovdiv",Moderate,16,21.3,55.9,NULL,8,0
153,"Blagoevgrad, Blagoevgrad",Good,11,14.1,35,7,NULL,NULL
154,"Banting, Selangor",Unhealthy For Sensitive Groups,41.9,NULL,NULL,NULL,NULL,NULL
155,"Petaling Jaya, Selangor",Unhealthy For Sensitive Groups,41.9,NULL,NULL,NULL,NULL,NULL
156,"Kangar, Perlis",Moderate,28.9,NULL,NULL,NULL,NULL,NULL
157,"Kuala Langat, Selangor",Unhealthy For Sensitive Groups,37.4,NULL,NULL,NULL,NULL,NULL
158,"Klang, Selangor",Moderate,26.3,NULL,NULL,NULL,NULL,NULL
159,"Kuah, Kedah",Moderate,23.7,NULL,NULL,NULL,NULL,NULL
160,"Prai, Penang",Moderate,23.7,NULL,NULL,NULL,NULL,NULL
161,"Shah Alam, Selangor",Moderate,23.7,NULL,NULL,NULL,NULL,NULL
162,"Alor Setar, Kedah",Moderate,22.5,NULL,NULL,NULL,NULL,NULL
163,"Kuala Terengganu, Terengganu",Moderate,21.2,NULL,NULL,NULL,NULL,NULL
164,"El Tambo, Junin",Moderate,34.2,NULL,NULL,NULL,NULL,NULL
165,"San Juan de Lurigancho, Lima",Moderate,16.1,NULL,4.5,NULL,9.6,1
166,"Carabayllo, Lima",Moderate,13.8,2,3.4,NULL,4.3,NULL
167,"Trujillo, La Libertad",Moderate,19.7,NULL,NULL,NULL,NULL,NULL
168,"Lima, Lima",Moderate,12.2,16.3,NULL,NULL,NULL,NULL
169,"Chupaca, Junin",Good,9.6,NULL,NULL,NULL,NULL,NULL
170,"Inapari, Madre de Dios",Good,5,NULL,NULL,NULL,NULL,NULL
171,"HUACHIPA, Lima",Good,NULL,NULL,NULL,2.6,50.5,46
172,"Puerto Maldonado, Madre de Dios",Good,4.1,NULL,NULL,NULL,NULL,NULL
173,"Santa Anita, Lima",Good,NULL,NULL,NULL,3.3,17.1,NULL
174,"Gornji Milanovac, Central serb",Very Unhealthy,150.6,NULL,NULL,NULL,NULL,NULL
175,"KOSJERIC, Central Serbia",Unhealthy,123.1,122.9,5.8,13.9,5.1,NULL
176,"Valjevo, Central Serbia",Unhealthy,87.1,87.6,NULL,46.2,14.7,NULL
177,"Cacak, Central Serbia",Unhealthy,83.7,NULL,NULL,16.9,NULL,NULL
178,"Nis, Central Serbia",Unhealthy,57,66.3,29.2,16.4,16.4,NULL
179,"Novi Pazar, Central serb",Unhealthy For Sensitive Groups,54.4,54.7,NULL,47,12.6,NULL
180,"Paracin, Central serb",Unhealthy For Sensitive Groups,45,49.1,9.8,8.2,4.5,NULL
181,"Lipe, Central Serbia",Unhealthy For Sensitive Groups,38.8,NULL,NULL,NULL,NULL,NULL
182,"Pancevo, Autonomna Pokrajina Vojvodina",Moderate,33,34.7,22.3,16.5,15.8,NULL
183,"Belgrade, Central Serbia",Moderate,23.8,23.6,51.2,11.9,23,510
184,"Moldava nad Bodvou, Kosice",Unhealthy,77.8,89.9,NULL,NULL,NULL,NULL
185,"Jelsava, Banska Bystrica",Unhealthy For Sensitive Groups,39,81.8,14.6,12.7,NULL,NULL
186,"Kosice, Kosice",Unhealthy For Sensitive Groups,41,47.5,4,NULL,7,781.5
187,"Vranov nad Toplou, Presov",Unhealthy For Sensitive Groups,46,49,NULL,NULL,5,NULL
188,"Strazske, Kosice",Unhealthy For Sensitive Groups,46,47,NULL,NULL,NULL,NULL
189,"Krompachy, Kosice",Moderate,31,32,NULL,NULL,11,NULL
190,"Hnusta, Banska Bystrica",Moderate,32,43,NULL,NULL,NULL,NULL
191,"Nad Jazerom, Kosice",Moderate,25,32,NULL,NULL,NULL,NULL
192,"Ruzomberok, Zilina",Moderate,15,17,3,NULL,3,NULL
193,"Novaky, Nitra",Moderate,17,8,NULL,NULL,2,NULL
194,"Pontecesures, Galicia",Unhealthy,56.7,57,2.7,NULL,1,NULL
195,"Lugo, Galicia",Unhealthy,55.8,51.5,1,NULL,2,NULL
196,"Algete, Madrid",Unhealthy For Sensitive Groups,49,NULL,42,68,NULL,NULL
197,"Getafe, Madrid",Unhealthy For Sensitive Groups,49,46,2,86,NULL,NULL
198,"Coslada, Madrid",Unhealthy For Sensitive Groups,48,49,3,71,NULL,NULL
199,"Toledo, Castilla-La Mancha",Unhealthy For Sensitive Groups,47,48,2,34,2,NULL
200,"Leganés, Madrid",Unhealthy For Sensitive Groups,44,53,1,96,NULL,NULL
201,"Ourense, Galicia",Unhealthy For Sensitive Groups,44.2,119.8,1,NULL,1.2,NULL
202,"Valdemoro, Madrid",Unhealthy For Sensitive Groups,44,NULL,10,1,NULL,NULL
203,"Villa del Prado, Madrid",Unhealthy For Sensitive Groups,44,0,1,44,1,0
204,"Fiq, Quneitra",Moderate,14,NULL,NULL,NULL,NULL,NULL
205,"Arwad, Tartus",Good,3,12.9,NULL,33.5,1.3,NULL
