,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
72,"Hameenlinna, Tavastia Proper",Good,7,6.1,NULL,1.8,NULL,NULL
73,"Seinajoki, Southern Ostrobothnia",Good,7,5.1,NULL,7,NULL,NULL
74,"Sillamaee, Ida-Virumaa",Moderate,16,17,NULL,NULL,NULL,NULL
75,"Sinimaee, Ida-Virumaa",Moderate,12.5,16.1,NULL,NULL,0.9,NULL
76,"Tartu, Tartumaa",Good,11.2,13.8,NULL,12.6,0,300
77,"Voore, Jogevamaa",Good,10.1,NULL,NULL,5.9,0,NULL
78,"Narva, Ida-Virumaa",Good,8.7,12.1,NULL,9.2,0,NULL
79,"Kohtla-Jaerve, Ida-Virumaa",Good,8.4,7.8,NULL,10.5,3.2,NULL
80,"Tallinn, Harjumaa",Good,8,16.8,22,14.7,0,280
81,"Parnu Jogi, Paernumaa",Good,NULL,NULL,NULL,10.4,0,NULL
82,"Solna, Stockholm",Moderate,14.7,NULL,NULL,NULL,NULL,NULL
83,"Lilla Essingen, Stockholm",Moderate,13.6,NULL,NULL,NULL,NULL,NULL
84,"Enkoeping, Uppsala län",Good,9.3,NULL,NULL,NULL,NULL,NULL
85,"Norr Malma, Stockholm",Good,9.2,9.2,NULL,7.2,NULL,NULL
86,"Haggvik, Stockholm",Good,8.6,12.3,NULL,NULL,NULL,NULL
87,"Sollentuna, Stockholm",Good,8.8,12,NULL,NULL,NULL,NULL
88,"Sodertalje, Stockholm",Good,8,9.1,NULL,48.4,NULL,NULL
89,"Stockholm, Stockholm",Good,8,9.9,NULL,11.3,NULL,NULL
90,"Kungsholmen, Stockholm",Good,7.9,10.7,NULL,10,NULL,NULL
91,"Lund, Skåne län",Good,7,8.2,34.9,4.9,NULL,NULL
92,"Narvik, Nordland",Moderate,13.3,20.4,NULL,NULL,NULL,NULL
93,"Stavanger, Rogaland",Good,11.6,11.9,NULL,30.5,NULL,NULL
94,"Hamar, Hedmark",Good,8.4,9.3,NULL,5.8,NULL,NULL
95,"Trondheim, Sor-Trondelag",Good,8.3,10.6,NULL,40.7,NULL,NULL
96,"Mo i Rana, Nordland",Good,7.7,12.1,NULL,NULL,NULL,NULL
97,"Drammen, Buskerud",Good,7.6,7.8,NULL,15.8,NULL,NULL
98,"Harstad, Troms",Good,6.9,7.9,NULL,5.3,NULL,NULL
99,"Sjolyststranda, Oslo",Good,6.3,6.7,7,11.4,0,NULL
100,"Alesund, More og Romsdal",Good,5,5.7,NULL,21.6,NULL,NULL
101,"Gjovik, Oppland",Good,4.5,4.9,NULL,11.8,NULL,NULL
102,"Darfield, Canterbury",Moderate,12.4,NULL,NULL,NULL,NULL,NULL
103,"Rangiora, Canterbury",Good,10.4,19.4,NULL,NULL,NULL,NULL
104,"Awatoto, Hawke's Bay",Good,9.2,21.2,NULL,NULL,NULL,NULL
105,"Hastings, Hawke's Bay",Good,9.1,10.9,NULL,NULL,NULL,NULL
106,"Gisborne, Gisborne",Good,8.6,24.5,NULL,NULL,NULL,NULL
107,"Winton, Southland",Good,8.6,NULL,NULL,NULL,NULL,NULL
108,"Ashburton, Canterbury",Good,8,22,NULL,NULL,NULL,NULL
109,"Christchurch, Canterbury",Good,7.2,18.6,NULL,NULL,NULL,NULL
110,"Napier, Hawke's Bay",Good,7.3,19.4,NULL,NULL,NULL,NULL
111,"Wainuiomata, Wellington",Good,6.9,13.5,NULL,NULL,NULL,NULL
112,"Golden, British Columbia",Unhealthy For Sensitive Groups,46,30.7,NULL,NULL,NULL,NULL
113,"Houston, British Columbia",Unhealthy For Sensitive Groups,43.9,0,NULL,NULL,NULL,NULL
114,"Dawson City, Yukon",Unhealthy For Sensitive Groups,43.4,NULL,NULL,NULL,NULL,NULL
115,"Barrie, Ontario",Moderate,31,NULL,24,21.4,NULL,NULL
116,"Hamilton, Ontario",Moderate,31.1,27,31,22.9,0.8,NULL
117,"Simcoe, Ontario",Moderate,29.8,NULL,NULL,NULL,NULL,NULL
118,"Woodstock, Ontario",Moderate,28.5,NULL,NULL,NULL,NULL,NULL
119,"Otterburn Park, Quebec",Moderate,26.3,NULL,NULL,NULL,NULL,NULL
120,"Oshawa, Ontario",Moderate,24,NULL,20,29.1,NULL,NULL
