,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
86,Melbourne,Good,5.4,17.9,28.8,3.8,3.4,0
87,Pristina,Good,4.9,NULL,NULL,NULL,NULL,NULL
88,Canberra,Good,1.5,3.9,32.7,3,NULL,3.4
89,Sofia,Good,2.9,2.8,48.1,5.7,4.2,0
90,New York City,Good,6.6,NULL,41,NULL,3.5,242.8
91,Tokyo,Good,6.1,6.4,NULL,44.2,2.6,381.7
92,Los Angeles,Good,17.1,41.2,3,31.8,2.4,NULL
93,Sydney,Good,0,7.2,31.5,1.1,0,2.3
94,Skopje,Good,6.8,4.9,20.3,11.5,0,NULL
95,Tashkent,Good,47.8,NULL,4,NULL,NULL,NULL
