City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
"Yulin, Guangxi",178,108.0,120.0,51.0,24.5,5.0,1150.0
"Beihai, Guangxi",176,103.0,91.5,42.0,19.0,8.0,1000.0
"Changzhou Qu, Guangxi",176,103.0,92.0,25.0,29.0,5.0,1400.0
"Zhanjiang, Guangdong",176,103.5,117.0,50.0,30.0,23.0,1050.0
"Otterburn Park, Quebec",97,33.9,,,,,
"Dawson City, Yukon",98,34.4,,,,,
"Revelstoke, British Columbia",81,26.3,,,,,
"North Cowichan, British Columbia",80,26.2,,,,,
"Golden, British Columbia",94,32.6,14.6,,,,
"Saint-Bruno-de-Montarville, Quebec",62,17.6,,,,,
"Whitehorse, Yukon",78,25.2,,,,,
"Winnipeg, Manitoba",68,20.2,,4.8,6.5,,
"Campbell River, British Columbia",73,22.4,,,,,
"Norman Wells, Northwest Territories",69,11.3,91.4,,2.4,14.4,
"Ha Tinh, Tinh Ha Tinh",184,119.6,,,,,
"Phuc Yen, Tinh Vinh Phuc",183,117.8,193.5,,,,
"Luong Son, Tinh Hoa Binh",180,111.3,189.5,,,,
"Thua, Tinh Bac Ninh",175,102.5,116.5,,19.6,1.5,0.0
"Hanoi, Hanoi",182,115.1,136.6,0.0,22.7,4.2,1190.7
"Bac Ninh, Tinh Bac Ninh",170,92.5,111.0,,,45.5,
"Cau Giay, Hanoi",173,98.3,136.3,,10.1,,0.8
"Thanh Pho Thai Nguyen, Tinh Thai Nguyen",176,103.8,,,,3.7,1.1
"Hai BaTrung, Hanoi",183,116.9,131.8,,14.4,,694.6
"Nhu Quynh, Tinh Hung Yen",170,91.5,118.5,0.0,34.4,8.6,0.0
"Nantwich, England",121,43.7,,,,,
"Warrington, England",114,41.0,50.2,,45.1,,
"Wigan, England",113,40.5,46.2,1.8,13.8,,
"Haydock, England",112,40.0,46.4,,,,
"Leigh, England",107,38.0,45.4,,49.0,,
"Ringwood, England",106,37.6,,,,,
"Salford, England",102,35.9,,,,,
"Manchester, England",96,33.8,36.6,1.6,74.4,4.0,
"Cambridge, England",92,31.7,7.1,,13.3,,
"Weymouth, England",92,31.9,,,,,
"Talence, Nouvelle-Aquitaine",154,61.0,63.0,2.0,25.0,,
"Nantes, Pays de la Loire",134,49.0,54.0,1.5,19.0,2.0,
"Tarbes, Occitanie",133,48.7,50.8,2.2,25.8,,
"Toulouse, Occitanie",129,47.0,55.5,4.9,30.2,,
"Lorient, Brittany",125,45.1,56.8,2.0,25.6,,
"Bassens, Nouvelle-Aquitaine",124,45.0,48.0,3.0,21.0,1.0,
"Perigueux, Nouvelle-Aquitaine",124,45.0,47.0,2.0,11.0,,
"Biars-sur-Cere, Occitanie",122,44.0,57.8,0.0,23.3,,
"Bouguenais, Pays de la Loire",122,44.0,65.0,,19.0,1.0,
"Saint-Nazaire, Pays de la Loire",122,44.0,45.0,4.0,16.0,1.0,
"Oberaudorf, Bavaria",81,26.5,28.4,,24.6,,
"Meiderich, Nordrhein-Westfalen",78,25.1,,,,,
"Schongau, Bavaria",77,24.5,,,,,
"Ettlingen, Baden-Wuerttemberg",75,23.6,,,,,
"Eppelheim, Baden-Wuerttemberg",74,23.2,,,,,
"Neuenburg, Baden-Wuerttemberg",74,23.0,24.0,15.0,,,
"Weil am Rhein, Baden-Wuerttemberg",74,23.0,24.0,3.0,,,
"Mainz, Rheinland-Pfalz",70,21.3,16.0,35.0,11.0,1.0,240.0
"Rottach-Egern, Bavaria",70,21.2,,,,,
"Dresden, Saxony",68,20.0,9.5,30.0,9.0,0.0,
"Sam Phran, Nakhon Pathom",184,120.2,,,,,
"Nakhon Pathom, Nakhon Pathom",156,65.2,,,,,
"Samut Sakhon, Samut Sakhon",122,44.2,180.0,104.0,52.6,48.5,1293.9
"Bang Khon Thi, Samut Songkhram",167,85.8,,,,,
"Phra Samut Chedi, Samut Prakan",164,80.0,84.0,58.0,60.2,7.9,366.4
"Nong Khaem, Bangkok",162,77.0,99.0,,,,
