,City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
78,"San Kamphaeng, Chiang Mai",118,42.6,NULL,NULL,NULL,NULL,NULL
79,"Chiang Rai, Chiang Rai",153,59.1,28.5,22,3.8,NULL,681.3
80,"Ecublens, Vaud",120,43.2,NULL,NULL,NULL,NULL,NULL
81,"Dubendorf, Zurich",103,36.3,18,26,28,1,NULL
82,"Liestal, Basel-Landschaft",83,27.5,NULL,NULL,NULL,NULL,NULL
83,"Rhaezuens, Grisons",91,31,32.1,6.6,NULL,NULL,NULL
84,"Rotkreuz, Zug",83,27.5,NULL,NULL,NULL,NULL,NULL
85,"Chur, Grisons",77,24.5,31.5,19.2,34.3,NULL,NULL
86,"Dietikon, Zurich",77,24.5,NULL,NULL,NULL,NULL,NULL
87,"Richterswil / Dorfkern, Zurich",74,23.3,NULL,NULL,NULL,NULL,NULL
88,"Binningen, Basel-Landschaft",74,23,24,8,NULL,NULL,NULL
89,"Harkingen, Solothurn",70,21,42,6,NULL,NULL,NULL
90,"Meligalas, Peloponnese",152,56.8,NULL,NULL,NULL,NULL,NULL
91,"Messini, Peloponnese",148,54.9,NULL,NULL,NULL,NULL,NULL
92,"Palaio Faliro, Attica",130,47.3,NULL,NULL,NULL,NULL,NULL
93,"Vrachnaiika, West Greece",125,45.2,NULL,NULL,NULL,NULL,NULL
94,"Agios Ioannis Rentis, Attica",114,40.7,NULL,NULL,NULL,NULL,NULL
95,"Peristeri, Attica",98,34.7,NULL,NULL,NULL,NULL,NULL
96,"Athens, Attica",87,29.2,NULL,NULL,NULL,NULL,NULL
97,"Piraeus, Attica",87,29.3,NULL,NULL,NULL,NULL,NULL
98,"Agia Varvara, Attica",76,24.3,NULL,NULL,NULL,NULL,NULL
99,"Nikaia, Attica",76,23.8,NULL,NULL,NULL,NULL,NULL
100,"Sao Bernardo do Campo, Sao Paulo",61,17,NULL,22,NULL,NULL,NULL
101,"Santa Gertrudes, Sao Paulo",57,10,68,NULL,NULL,NULL,NULL
102,"Sao Caetano do Sul, Sao Paulo",53,13,19,42,35,1,NULL
103,"Guarulhos, Sao Paulo",45,11,13,41,23,1,572.5
104,"Cubatao, Sao Paulo",44,NULL,48,NULL,43,3,NULL
105,"Campinas, Sao Paulo",41,10,11,NULL,19,NULL,NULL
106,"Maua, Sao Paulo",37,9,11,28,36,2,NULL
107,"Sao Jose do Rio Preto, Sao Paulo",37,9,17,36,31,NULL,NULL
108,"Pianco, Paraiba",36,8.8,NULL,NULL,NULL,NULL,NULL
109,"Boa Vista, Roraima",31,7.5,NULL,NULL,NULL,NULL,NULL
110,"Solnechnyy, Krasnoyarsk Krai",33,150,NULL,NULL,160,60,140
111,"Zyryanka, Chukot",72,22,NULL,NULL,NULL,NULL,NULL
112,"Balashikha, Moscow Oblast",92,31.8,NULL,NULL,NULL,NULL,NULL
113,"Krasnoyarsk, Krasnoyarsk Krai",62,17.4,NULL,NULL,160,50,160
114,"Magnitogorsk, Chelyabinsk",83,27.2,NULL,NULL,NULL,NULL,NULL
115,"Serpukhov, Moscow Oblast",65,18.9,NULL,NULL,NULL,NULL,NULL
116,"Krasnodar, Krasnodarskiy",57,15,NULL,NULL,NULL,NULL,NULL
117,"Moscow, Moscow",97,34.1,15,24.3,34.7,1.6,200
118,"Berezovka, Krasnoyarsk Krai",44,130,NULL,NULL,270,20,80
119,"Kamensk-Shakhtinskiy, Rostov",42,10.2,NULL,NULL,NULL,NULL,NULL
120,"Bulacan, Central Luzon",51,12.3,NULL,NULL,NULL,NULL,NULL
121,"Puerto Princesa, Mimaropa",65,19,35,NULL,NULL,NULL,NULL
122,"Makati, National Capital Region",78,24.9,NULL,NULL,NULL,NULL,NULL
123,"Davao City, Davao",59,16,26.5,NULL,13,NULL,NULL
124,"Pasig City, National Capital Region",51,12.3,NULL,NULL,NULL,NULL,NULL
125,"Butuan, Caraga",50,12,18,NULL,NULL,NULL,NULL
126,"Balanga, Central Luzon",66,19.2,NULL,NULL,NULL,NULL,NULL
127,"Quezon City, National Capital Region",30,7.3,NULL,NULL,NULL,NULL,NULL
128,"San Juan, National Capital Region",45,10.8,NULL,NULL,NULL,NULL,NULL
129,"Mandaluyong, National Capital Region",20,4.8,NULL,NULL,NULL,NULL,NULL
130,"Mandalay, Mandalay",155,62.9,NULL,NULL,NULL,NULL,NULL
131,"Yangon, Yangon",154,62.1,NULL,4,NULL,NULL,NULL
132,"Syriam, Yangon",109,38.8,NULL,NULL,NULL,NULL,NULL
133,"Vientiane, Vientiane",70,21,NULL,NULL,NULL,NULL,NULL
134,"Tuolumne City, California",156,64.8,NULL,NULL,NULL,NULL,NULL
135,"La Jolla Shores, California",148,54.7,NULL,NULL,NULL,NULL,NULL
136,"Peaceful Valley, Washington",99,35.1,NULL,NULL,NULL,NULL,NULL
137,"Fort Jones, California",151,55.5,NULL,NULL,NULL,NULL,NULL
138,"Hanford, California",134,49,75.1,2,39.5,NULL,NULL
139,"Chippewa Falls, Wisconsin",122,44.2,NULL,NULL,NULL,NULL,NULL
140,"Visalia, California",110,39,NULL,38,NULL,NULL,NULL
141,"Las Vegas, New Mexico",119,42.8,NULL,NULL,NULL,NULL,NULL
142,"Sparta, Wisconsin",142,52.3,NULL,NULL,NULL,NULL,NULL
143,"Reedley, California",120,43.2,NULL,NULL,NULL,NULL,NULL
144,"Plovdiv, Plovdiv",167,86,95.8,4.1,NULL,6.5,0
145,"Vidin, Vidin",110,39,46.4,NULL,NULL,NULL,NULL
146,"Nesebar, Burgas",84,28,38.8,NULL,11.5,2.2,NULL
147,"Ruse, Ruse",81,26.4,27.6,3.6,NULL,NULL,0
148,"Sliven, Sliven",72,22,24.2,NULL,NULL,NULL,NULL
149,"Devnya, Varna",68,20,27.2,0,1.3,NULL,0
150,"Kardzhali, Kardzhali",68,20,26.2,NULL,NULL,NULL,NULL
151,"Varna, Varna",66,19.4,20.3,5.8,NULL,NULL,0
